"created per month",filters,filters,Count
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1610.total",33
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1611.total",27
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1612.total",21
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1701.total",51
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1702.total",41
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1703.total",43
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1704.total",45
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1705.total",39
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1706.total",33
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1707.total",36
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1708.total",30
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1709.total",28
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1710.total",42
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1711.total",34
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1712.total",43
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1801.total",41
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1802.total",29
"2015-02-01 00:00:00","first_app:topfacemobappandroid","*","181,505"
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1501.total",0
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1502.total","1,081"
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1503.total",747
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1504.total",496
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1505.total",399
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1506.total",347
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1507.total",324
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1508.total",285
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1509.total",220
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1510.total",199
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1511.total",171
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1512.total",177
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1601.total",163
