"created per day",filters,"country: Descending",Count
"2017-12-01 00:00:00","first_app:topfacemobappios",IT,24
"2017-12-01 00:00:00","first_app:topfacemobappios",PK,20
"2017-12-01 00:00:00","first_app:topfacemobappios",AE,16
"2017-12-01 00:00:00","first_app:topfacemobappios",AZ,16
"2017-12-01 00:00:00","first_app:topfacemobappios",BY,13
"2017-12-01 00:00:00","first_app:topfacemobappios",AM,12
"2017-12-01 00:00:00","first_app:topfacemobappios",GB,12
"2017-12-01 00:00:00","first_app:topfacemobappios",GH,10
"2017-12-01 00:00:00","first_app:topfacemobappios",NG,10
"2017-12-01 00:00:00","first_app:topfacemobappios",FR,9
"2017-12-01 00:00:00","first_app:topfacemobappios",GE,9
"2017-12-01 00:00:00","first_app:topfacemobappios",MA,9
"2017-12-01 00:00:00","first_app:topfacemobappios",DE,8
"2017-12-01 00:00:00","first_app:topfacemobappios",EG,7
"2017-12-01 00:00:00","first_app:topfacemobappios",ID,7
"2017-12-01 00:00:00","first_app:topfacemobappios",IR,7
"2017-12-01 00:00:00","first_app:topfacemobappios",CA,6
"2017-12-01 00:00:00","first_app:topfacemobappios",CL,6
"2017-12-01 00:00:00","first_app:topfacemobappios",DO,6
"2017-12-01 00:00:00","first_app:topfacemobappios",DZ,6
"2017-12-01 00:00:00","first_app:topfacemobappios",ES,6
"2017-12-01 00:00:00","first_app:topfacemobappios",NL,6
"2017-12-01 00:00:00","first_app:topfacemobappios",QA,6
"2017-12-01 00:00:00","first_app:topfacemobappios",BR,5
"2017-12-01 00:00:00","first_app:topfacemobappios",CO,5
"2017-12-01 00:00:00","first_app:topfacemobappios",SG,5
"2017-12-01 00:00:00","first_app:topfacemobappios",TN,5
"2017-12-01 00:00:00","first_app:topfacemobappios",ZA,5
"2017-12-01 00:00:00","first_app:topfacemobappios",HU,4
"2017-12-01 00:00:00","first_app:topfacemobappios",IQ,4
"2017-12-01 00:00:00","first_app:topfacemobappios",JO,4
"2017-12-01 00:00:00","first_app:topfacemobappios",LB,4
"2017-12-01 00:00:00","first_app:topfacemobappios",AF,3
"2017-12-01 00:00:00","first_app:topfacemobappios",AU,3
"2017-12-01 00:00:00","first_app:topfacemobappios",BD,3
"2017-12-01 00:00:00","first_app:topfacemobappios",JP,3
"2017-12-01 00:00:00","first_app:topfacemobappios",LV,3
"2017-12-01 00:00:00","first_app:topfacemobappios",MM,3
"2017-12-01 00:00:00","first_app:topfacemobappios",MY,3
"2017-12-01 00:00:00","first_app:topfacemobappios",PE,3
"2017-12-01 00:00:00","first_app:topfacemobappios",RO,3
"2017-12-01 00:00:00","first_app:topfacemobappios",UZ,3
"2017-12-01 00:00:00","first_app:topfacemobappios",BO,2
"2017-12-01 00:00:00","first_app:topfacemobappios",EC,2
"2017-12-01 00:00:00","first_app:topfacemobappios",GR,2
"2017-12-01 00:00:00","first_app:topfacemobappios",KE,2
"2017-12-01 00:00:00","first_app:topfacemobappios",KG,2
"2017-12-01 00:00:00","first_app:topfacemobappios",KW,2
"2017-12-01 00:00:00","first_app:topfacemobappios",MD,2
"2017-12-01 00:00:00","first_app:topfacemobappios",MK,2
"2017-12-01 00:00:00","first_app:topfacemobappios",NP,2
"2017-12-01 00:00:00","first_app:topfacemobappios",NZ,2
"2017-12-01 00:00:00","first_app:topfacemobappios",OM,2
"2017-12-01 00:00:00","first_app:topfacemobappios",PH,2
"2017-12-01 00:00:00","first_app:topfacemobappios",PL,2
"2017-12-01 00:00:00","first_app:topfacemobappios",SA,2
"2017-12-01 00:00:00","first_app:topfacemobappios",SE,2
"2017-12-01 00:00:00","first_app:topfacemobappios",VN,2
"2017-12-01 00:00:00","first_app:topfacemobappios",AT,1
"2017-12-01 00:00:00","first_app:topfacemobappios",BA,1
"2017-12-01 00:00:00","first_app:topfacemobappios",BE,1
"2017-12-01 00:00:00","first_app:topfacemobappios",BF,1
"2017-12-01 00:00:00","first_app:topfacemobappios",BG,1
"2017-12-01 00:00:00","first_app:topfacemobappios",BJ,1
"2017-12-01 00:00:00","first_app:topfacemobappios",BT,1
"2017-12-01 00:00:00","first_app:topfacemobappios",BZ,1
"2017-12-01 00:00:00","first_app:topfacemobappios",CH,1
"2017-12-01 00:00:00","first_app:topfacemobappios",CI,1
"2017-12-01 00:00:00","first_app:topfacemobappios",CN,1
"2017-12-01 00:00:00","first_app:topfacemobappios",CZ,1
"2017-12-01 00:00:00","first_app:topfacemobappios",DK,1
"2017-12-01 00:00:00","first_app:topfacemobappios",FI,1
"2017-12-01 00:00:00","first_app:topfacemobappios",GD,1
"2017-12-01 00:00:00","first_app:topfacemobappios",HN,1
"2017-12-01 00:00:00","first_app:topfacemobappios",IE,1
"2017-12-01 00:00:00","first_app:topfacemobappios",IL,1
"2017-12-01 00:00:00","first_app:topfacemobappios",LC,1
"2017-12-01 00:00:00","first_app:topfacemobappios",LK,1
"2017-12-01 00:00:00","first_app:topfacemobappios",LT,1
"2017-12-01 00:00:00","first_app:topfacemobappios",LU,1
"2017-12-01 00:00:00","first_app:topfacemobappios",MC,1
"2017-12-01 00:00:00","first_app:topfacemobappios",MT,1
"2017-12-01 00:00:00","first_app:topfacemobappios",MU,1
"2017-12-01 00:00:00","first_app:topfacemobappios",MZ,1
"2017-12-01 00:00:00","first_app:topfacemobappios",NI,1
"2017-12-01 00:00:00","first_app:topfacemobappios",NO,1
"2017-12-01 00:00:00","first_app:topfacemobappios",RS,1
"2017-12-01 00:00:00","first_app:topfacemobappios",SO,1
"2017-12-01 00:00:00","first_app:topfacemobappios",SV,1
"2017-12-01 00:00:00","first_app:topfacemobappios",TG,1
"2017-12-01 00:00:00","first_app:topfacemobappios",TH,1
"2017-12-01 00:00:00","first_app:topfacemobappios",ZW,1
"2017-12-02 00:00:00","first_app:topfacemobappandroid",RU,"1,575"
"2017-12-02 00:00:00","first_app:topfacemobappandroid",US,460
"2017-12-02 00:00:00","first_app:topfacemobappandroid",UA,368
"2017-12-02 00:00:00","first_app:topfacemobappandroid",TR,306
"2017-12-02 00:00:00","first_app:topfacemobappandroid",IN,146
"2017-12-02 00:00:00","first_app:topfacemobappandroid",KZ,126
"2017-12-02 00:00:00","first_app:topfacemobappandroid",NG,107
"2017-12-02 00:00:00","first_app:topfacemobappandroid",BY,89
"2017-12-02 00:00:00","first_app:topfacemobappandroid",MA,65
"2017-12-02 00:00:00","first_app:topfacemobappandroid",MX,51
"2017-12-02 00:00:00","first_app:topfacemobappandroid",AE,45
"2017-12-02 00:00:00","first_app:topfacemobappandroid",GH,44
"2017-12-02 00:00:00","first_app:topfacemobappandroid",IT,44
"2017-12-02 00:00:00","first_app:topfacemobappandroid",AR,41
"2017-12-02 00:00:00","first_app:topfacemobappandroid",PK,37
"2017-12-02 00:00:00","first_app:topfacemobappandroid",UZ,34
"2017-12-02 00:00:00","first_app:topfacemobappandroid",ID,33
"2017-12-02 00:00:00","first_app:topfacemobappandroid",BR,32
"2017-12-02 00:00:00","first_app:topfacemobappandroid",GB,31
"2017-12-02 00:00:00","first_app:topfacemobappandroid",AM,30
"2017-12-02 00:00:00","first_app:topfacemobappandroid",CO,29
"2017-12-02 00:00:00","first_app:topfacemobappandroid",DE,29
"2017-12-02 00:00:00","first_app:topfacemobappandroid",DZ,28
"2017-12-02 00:00:00","first_app:topfacemobappandroid",KG,26
"2017-12-02 00:00:00","first_app:topfacemobappandroid",AZ,25
"2017-12-02 00:00:00","first_app:topfacemobappandroid",ES,24
"2017-12-02 00:00:00","first_app:topfacemobappandroid",FR,24
"2017-12-02 00:00:00","first_app:topfacemobappandroid",SA,24
"2017-12-02 00:00:00","first_app:topfacemobappandroid",EG,23
"2017-12-02 00:00:00","first_app:topfacemobappandroid",SG,22
"2017-12-02 00:00:00","first_app:topfacemobappandroid",EC,20
"2017-12-02 00:00:00","first_app:topfacemobappandroid",NL,19
"2017-12-02 00:00:00","first_app:topfacemobappandroid",CL,18
"2017-12-02 00:00:00","first_app:topfacemobappandroid",CA,17
"2017-12-02 00:00:00","first_app:topfacemobappandroid",PH,16
"2017-12-02 00:00:00","first_app:topfacemobappandroid",TJ,16
"2017-12-02 00:00:00","first_app:topfacemobappandroid",TN,15
"2017-12-02 00:00:00","first_app:topfacemobappandroid",IL,14
"2017-12-02 00:00:00","first_app:topfacemobappandroid",PE,14
"2017-12-02 00:00:00","first_app:topfacemobappandroid",DO,13
"2017-12-02 00:00:00","first_app:topfacemobappandroid",IQ,11
"2017-12-02 00:00:00","first_app:topfacemobappandroid",UY,11
"2017-12-02 00:00:00","first_app:topfacemobappandroid",ZA,11
"2017-12-02 00:00:00","first_app:topfacemobappandroid",PT,10
"2017-12-02 00:00:00","first_app:topfacemobappandroid",VE,10
"2017-12-02 00:00:00","first_app:topfacemobappandroid",CI,9
"2017-12-02 00:00:00","first_app:topfacemobappandroid",CR,9
"2017-12-02 00:00:00","first_app:topfacemobappandroid",LB,9
"2017-12-02 00:00:00","first_app:topfacemobappandroid",BO,8
"2017-12-02 00:00:00","first_app:topfacemobappandroid",MD,8
"2017-12-02 00:00:00","first_app:topfacemobappandroid",RO,8
"2017-12-02 00:00:00","first_app:topfacemobappandroid",AU,7
"2017-12-02 00:00:00","first_app:topfacemobappandroid",CZ,7
"2017-12-02 00:00:00","first_app:topfacemobappandroid",GE,7
"2017-12-02 00:00:00","first_app:topfacemobappandroid",LV,7
"2017-12-02 00:00:00","first_app:topfacemobappandroid",PL,7
"2017-12-02 00:00:00","first_app:topfacemobappandroid",BG,6
"2017-12-02 00:00:00","first_app:topfacemobappandroid",GR,6
"2017-12-02 00:00:00","first_app:topfacemobappandroid",MY,6
"2017-12-02 00:00:00","first_app:topfacemobappandroid",BD,5
"2017-12-02 00:00:00","first_app:topfacemobappandroid",KE,5
"2017-12-02 00:00:00","first_app:topfacemobappandroid",NO,5
"2017-12-02 00:00:00","first_app:topfacemobappandroid",RS,5
"2017-12-02 00:00:00","first_app:topfacemobappandroid",BE,4
"2017-12-02 00:00:00","first_app:topfacemobappandroid",EE,4
"2017-12-02 00:00:00","first_app:topfacemobappandroid",GT,4
"2017-12-02 00:00:00","first_app:topfacemobappandroid",HU,4
"2017-12-02 00:00:00","first_app:topfacemobappandroid",KR,4
"2017-12-02 00:00:00","first_app:topfacemobappandroid",NP,4
"2017-12-02 00:00:00","first_app:topfacemobappandroid",SK,4
"2017-12-02 00:00:00","first_app:topfacemobappandroid",SV,4
"2017-12-02 00:00:00","first_app:topfacemobappandroid",TH,4
"2017-12-02 00:00:00","first_app:topfacemobappandroid",AL,3
"2017-12-02 00:00:00","first_app:topfacemobappandroid",CM,3
"2017-12-02 00:00:00","first_app:topfacemobappandroid",CN,3
"2017-12-02 00:00:00","first_app:topfacemobappandroid",CY,3
"2017-12-02 00:00:00","first_app:topfacemobappandroid",HN,3
"2017-12-02 00:00:00","first_app:topfacemobappandroid",JM,3
"2017-12-02 00:00:00","first_app:topfacemobappandroid",KW,3
"2017-12-02 00:00:00","first_app:topfacemobappandroid",NI,3
"2017-12-02 00:00:00","first_app:topfacemobappandroid",PY,3
"2017-12-02 00:00:00","first_app:topfacemobappandroid",VN,3
"2017-12-02 00:00:00","first_app:topfacemobappandroid",CH,2
"2017-12-02 00:00:00","first_app:topfacemobappandroid",HT,2
"2017-12-02 00:00:00","first_app:topfacemobappandroid",IR,2
"2017-12-02 00:00:00","first_app:topfacemobappandroid",JO,2
"2017-12-02 00:00:00","first_app:topfacemobappandroid",LK,2
"2017-12-02 00:00:00","first_app:topfacemobappandroid",MU,2
"2017-12-02 00:00:00","first_app:topfacemobappandroid",MZ,2
"2017-12-02 00:00:00","first_app:topfacemobappandroid",NZ,2
"2017-12-02 00:00:00","first_app:topfacemobappandroid",PA,2
"2017-12-02 00:00:00","first_app:topfacemobappandroid",QA,2
"2017-12-02 00:00:00","first_app:topfacemobappandroid",TG,2
"2017-12-02 00:00:00","first_app:topfacemobappandroid",UG,2
"2017-12-02 00:00:00","first_app:topfacemobappandroid",AF,1
"2017-12-02 00:00:00","first_app:topfacemobappandroid",AN,1
"2017-12-02 00:00:00","first_app:topfacemobappandroid",AT,1
"2017-12-02 00:00:00","first_app:topfacemobappandroid",BH,1
"2017-12-02 00:00:00","first_app:topfacemobappandroid",BJ,1
"2017-12-02 00:00:00","first_app:topfacemobappandroid",BS,1
"2017-12-02 00:00:00","first_app:topfacemobappandroid",CD,1
"2017-12-02 00:00:00","first_app:topfacemobappandroid",FI,1
"2017-12-02 00:00:00","first_app:topfacemobappandroid",GA,1
"2017-12-02 00:00:00","first_app:topfacemobappandroid",GM,1
"2017-12-02 00:00:00","first_app:topfacemobappandroid",GN,1
"2017-12-02 00:00:00","first_app:topfacemobappandroid",HR,1
"2017-12-02 00:00:00","first_app:topfacemobappandroid",IE,1
"2017-12-02 00:00:00","first_app:topfacemobappandroid",IS,1
"2017-12-02 00:00:00","first_app:topfacemobappandroid",JP,1
"2017-12-02 00:00:00","first_app:topfacemobappandroid",LT,1
"2017-12-02 00:00:00","first_app:topfacemobappandroid",LU,1
"2017-12-02 00:00:00","first_app:topfacemobappandroid",MG,1
"2017-12-02 00:00:00","first_app:topfacemobappandroid",ML,1
"2017-12-02 00:00:00","first_app:topfacemobappandroid",MR,1
"2017-12-02 00:00:00","first_app:topfacemobappandroid",MW,1
"2017-12-02 00:00:00","first_app:topfacemobappandroid",NA,1
"2017-12-02 00:00:00","first_app:topfacemobappandroid",OM,1
"2017-12-02 00:00:00","first_app:topfacemobappandroid",PR,1
"2017-12-02 00:00:00","first_app:topfacemobappandroid",PS,1
"2017-12-02 00:00:00","first_app:topfacemobappandroid",SD,1
"2017-12-02 00:00:00","first_app:topfacemobappandroid",SE,1
"2017-12-02 00:00:00","first_app:topfacemobappandroid",SY,1
"2017-12-02 00:00:00","first_app:topfacemobappandroid",TD,1
"2017-12-02 00:00:00","first_app:topfacemobappandroid",TM,1
"2017-12-02 00:00:00","first_app:topfacemobappios",RU,570
"2017-12-02 00:00:00","first_app:topfacemobappios",US,163
"2017-12-02 00:00:00","first_app:topfacemobappios",TR,112
"2017-12-02 00:00:00","first_app:topfacemobappios",UA,100
"2017-12-02 00:00:00","first_app:topfacemobappios",KZ,62
"2017-12-02 00:00:00","first_app:topfacemobappios",IN,31
"2017-12-02 00:00:00","first_app:topfacemobappios",PK,28
"2017-12-02 00:00:00","first_app:topfacemobappios",GB,19
"2017-12-02 00:00:00","first_app:topfacemobappios",GH,18
"2017-12-02 00:00:00","first_app:topfacemobappios",MX,18
"2017-12-02 00:00:00","first_app:topfacemobappios",AE,17
"2017-12-02 00:00:00","first_app:topfacemobappios",AM,16
"2017-12-02 00:00:00","first_app:topfacemobappios",DE,15
"2017-12-02 00:00:00","first_app:topfacemobappios",IT,15
"2017-12-02 00:00:00","first_app:topfacemobappios",BY,14
"2017-12-02 00:00:00","first_app:topfacemobappios",AZ,13
"2017-12-02 00:00:00","first_app:topfacemobappios",KG,11
"2017-12-02 00:00:00","first_app:topfacemobappios",MA,9
"2017-12-02 00:00:00","first_app:topfacemobappios",NG,9
"2017-12-02 00:00:00","first_app:topfacemobappios",FR,8
"2017-12-02 00:00:00","first_app:topfacemobappios",IQ,8
"2017-12-02 00:00:00","first_app:topfacemobappios",CA,7
"2017-12-02 00:00:00","first_app:topfacemobappios",NL,7
"2017-12-02 00:00:00","first_app:topfacemobappios",EG,6
"2017-12-02 00:00:00","first_app:topfacemobappios",IR,6
"2017-12-02 00:00:00","first_app:topfacemobappios",RO,6
"2017-12-02 00:00:00","first_app:topfacemobappios",CY,5
"2017-12-02 00:00:00","first_app:topfacemobappios",DZ,5
"2017-12-02 00:00:00","first_app:topfacemobappios",ES,5
"2017-12-02 00:00:00","first_app:topfacemobappios",GE,5
"2017-12-02 00:00:00","first_app:topfacemobappios",PL,5
"2017-12-02 00:00:00","first_app:topfacemobappios",UZ,5
"2017-12-02 00:00:00","first_app:topfacemobappios",BD,4
"2017-12-02 00:00:00","first_app:topfacemobappios",CL,4
"2017-12-02 00:00:00","first_app:topfacemobappios",PE,4
"2017-12-02 00:00:00","first_app:topfacemobappios",PH,4
"2017-12-02 00:00:00","first_app:topfacemobappios",SA,4
"2017-12-02 00:00:00","first_app:topfacemobappios",TN,4
"2017-12-02 00:00:00","first_app:topfacemobappios",AF,3
"2017-12-02 00:00:00","first_app:topfacemobappios",AU,3
"2017-12-02 00:00:00","first_app:topfacemobappios",BG,3
"2017-12-02 00:00:00","first_app:topfacemobappios",CO,3
"2017-12-02 00:00:00","first_app:topfacemobappios",KR,3
"2017-12-02 00:00:00","first_app:topfacemobappios",KW,3
"2017-12-02 00:00:00","first_app:topfacemobappios",LT,3
"2017-12-02 00:00:00","first_app:topfacemobappios",LV,3
"2017-12-02 00:00:00","first_app:topfacemobappios",MY,3
"2017-12-02 00:00:00","first_app:topfacemobappios",SG,3
"2017-12-02 00:00:00","first_app:topfacemobappios",VN,3
"2017-12-02 00:00:00","first_app:topfacemobappios",AT,2
"2017-12-02 00:00:00","first_app:topfacemobappios",BE,2
"2017-12-02 00:00:00","first_app:topfacemobappios",BH,2
"2017-12-02 00:00:00","first_app:topfacemobappios",BO,2
"2017-12-02 00:00:00","first_app:topfacemobappios",BR,2
"2017-12-02 00:00:00","first_app:topfacemobappios",CH,2
"2017-12-02 00:00:00","first_app:topfacemobappios",EC,2
"2017-12-02 00:00:00","first_app:topfacemobappios",ET,2
"2017-12-02 00:00:00","first_app:topfacemobappios",GR,2
"2017-12-02 00:00:00","first_app:topfacemobappios",HU,2
"2017-12-02 00:00:00","first_app:topfacemobappios",IL,2
"2017-12-02 00:00:00","first_app:topfacemobappios",JO,2
"2017-12-02 00:00:00","first_app:topfacemobappios",LK,2
"2017-12-02 00:00:00","first_app:topfacemobappios",OM,2
"2017-12-02 00:00:00","first_app:topfacemobappios",PT,2
"2017-12-02 00:00:00","first_app:topfacemobappios",QA,2
"2017-12-02 00:00:00","first_app:topfacemobappios",TH,2
"2017-12-02 00:00:00","first_app:topfacemobappios",TZ,2
"2017-12-02 00:00:00","first_app:topfacemobappios",AL,1
"2017-12-02 00:00:00","first_app:topfacemobappios",AR,1
"2017-12-02 00:00:00","first_app:topfacemobappios",BB,1
"2017-12-02 00:00:00","first_app:topfacemobappios",BN,1
"2017-12-02 00:00:00","first_app:topfacemobappios",CN,1
"2017-12-02 00:00:00","first_app:topfacemobappios",CR,1
"2017-12-02 00:00:00","first_app:topfacemobappios",CZ,1
"2017-12-02 00:00:00","first_app:topfacemobappios",DK,1
"2017-12-02 00:00:00","first_app:topfacemobappios",DO,1
