"ref ID","partner ID","ref date","user ID","registration date","payment ID","payment date","payment amount","revenue in cents","payment service ID","payment provider",platform,place,country,"last app"
,,,118421732,"2018-05-06 05:05:59",8,"2018-05-06 11:17:01",94,65,77,"Деньги от Google Play",fb,BadaboomFilterScreen,RU,topfacemobappandroid
9553,63,"2018-04-17 10:03:03",117956156,"2018-04-17 10:03:01",4,"2018-04-20 12:03:19",1421,994,147,"Деньги от Google Play",fb,TrialVipPopup,LK,topface
,,,118362735,"2018-05-04 05:29:57",3,"2018-05-07 07:30:15",1397,977,147,"Деньги от Google Play",fb,TrialVipPopup,IN,topfacemobappandroid
,,,117616061,"2018-04-02 11:54:23",2,"2018-04-03 00:17:47",1195,836,147,"Деньги от Google Play",fb,ownProfile,UA,topfacemobappandroid
,,,118322140,"2018-05-02 20:54:55",3,"2018-05-05 22:57:02",1449,1014,147,"Деньги от Google Play",fb,TrialVipPopup,PT,topfacemobappandroid
,,,118311579,"2018-05-02 15:54:29",1,"2018-05-02 23:20:47",546,382,147,"Деньги от Google Play",fb,PopularUserChatBlock,TR,topfacemobappandroid
,,,118078601,"2018-04-22 12:09:41",12,"2018-05-13 04:40:20",100,97,19,"Деньги от Payment Ninja",fb,EmptyLikes,UA,topfacemobappandroid
,,,117975872,"2018-04-17 22:31:48",1,"2018-04-19 10:17:45",999,969,147,"Деньги от Payment Ninja",fb,promo.key31,UA,topfacemobappandroid
,,,117909035,"2018-04-15 17:19:27",1,"2018-04-16 16:13:10",999,969,147,"Деньги от Payment Ninja",fb,PopularUserBlockDialog,MA,topfacemobappandroid
,,,117812785,"2018-04-10 21:37:17",18,"2018-04-14 08:26:28",95,92,19,"Деньги от Payment Ninja",fb,EmptyLikes,RU,topfacemobappandroid
,,,118175883,"2018-04-27 01:29:43",1,"2018-04-29 12:17:24",510,174,68,"Деньги от PaymentWall (mobile)",fb,none,TR,topfacemobappandroid
,,,117761082,"2018-04-08 18:23:32",8,"2018-04-10 08:47:36",100,97,19,"Деньги от Payment Ninja",fb,autorefill,UZ,topfacemobappandroid
,,,118008893,"2018-04-18 23:32:12",1,"2018-04-18 23:36:26",999,969,147,"Деньги от Payment Ninja",fb,Dating,AZ,topfacemobappandroid
,,,117744173,"2018-04-08 00:26:21",13,"2018-05-10 20:28:19",87,60,77,"Деньги от Google Play",fb,BadaboomFilterScreen,TR,topfacemobappandroid
