"created per day",filters,filters,Count
"2018-01-09 00:00:00","referral:0","first_app:topfacemobappandroid","5,501"
"2018-01-09 00:00:00","referral:0","first_app:topfacemobappios","5,332"
"2018-01-09 00:00:00","referral:1","first_app:topfacemobappandroid","7,131"
"2018-01-09 00:00:00","referral:1","first_app:topfacemobappios","8,310"
"2018-01-10 00:00:00","referral:0","first_app:topfacemobappandroid","5,756"
"2018-01-10 00:00:00","referral:0","first_app:topfacemobappios","7,629"
"2018-01-10 00:00:00","referral:1","first_app:topfacemobappandroid","7,970"
"2018-01-10 00:00:00","referral:1","first_app:topfacemobappios","5,750"
"2018-01-11 00:00:00","referral:0","first_app:topfacemobappandroid","5,613"
"2018-01-11 00:00:00","referral:0","first_app:topfacemobappios","6,807"
"2018-01-11 00:00:00","referral:1","first_app:topfacemobappandroid","6,515"
"2018-01-11 00:00:00","referral:1","first_app:topfacemobappios","5,137"
"2018-01-12 00:00:00","referral:0","first_app:topfacemobappandroid","5,353"
"2018-01-12 00:00:00","referral:0","first_app:topfacemobappios","5,552"
"2018-01-12 00:00:00","referral:1","first_app:topfacemobappandroid","7,131"
"2018-01-12 00:00:00","referral:1","first_app:topfacemobappios","4,285"
"2018-01-13 00:00:00","referral:0","first_app:topfacemobappandroid","5,272"
"2018-01-13 00:00:00","referral:0","first_app:topfacemobappios","3,436"
"2018-01-13 00:00:00","referral:1","first_app:topfacemobappandroid","6,168"
"2018-01-13 00:00:00","referral:1","first_app:topfacemobappios","1,945"
"2018-01-14 00:00:00","referral:0","first_app:topfacemobappandroid","5,378"
"2018-01-14 00:00:00","referral:0","first_app:topfacemobappios","3,269"
"2018-01-14 00:00:00","referral:1","first_app:topfacemobappandroid","6,274"
"2018-01-14 00:00:00","referral:1","first_app:topfacemobappios","1,696"
"2018-01-15 00:00:00","referral:0","first_app:topfacemobappandroid","5,150"
"2018-01-15 00:00:00","referral:0","first_app:topfacemobappios","3,194"
"2018-01-15 00:00:00","referral:1","first_app:topfacemobappandroid","6,228"
"2018-01-15 00:00:00","referral:1","first_app:topfacemobappios","1,772"
"2018-01-16 00:00:00","referral:0","first_app:topfacemobappandroid","5,018"
"2018-01-16 00:00:00","referral:0","first_app:topfacemobappios","2,814"
"2018-01-16 00:00:00","referral:1","first_app:topfacemobappandroid","5,805"
"2018-01-16 00:00:00","referral:1","first_app:topfacemobappios","1,378"
"2018-01-17 00:00:00","referral:0","first_app:topfacemobappandroid","4,914"
"2018-01-17 00:00:00","referral:0","first_app:topfacemobappios","2,711"
"2018-01-17 00:00:00","referral:1","first_app:topfacemobappandroid","5,410"
"2018-01-17 00:00:00","referral:1","first_app:topfacemobappios","1,343"
"2018-01-18 00:00:00","referral:0","first_app:topfacemobappandroid","4,854"
"2018-01-18 00:00:00","referral:0","first_app:topfacemobappios","2,549"
"2018-01-18 00:00:00","referral:1","first_app:topfacemobappandroid","5,695"
"2018-01-18 00:00:00","referral:1","first_app:topfacemobappios","1,267"
"2018-01-19 00:00:00","referral:0","first_app:topfacemobappandroid","4,814"
"2018-01-19 00:00:00","referral:0","first_app:topfacemobappios","2,706"
"2018-01-19 00:00:00","referral:1","first_app:topfacemobappandroid","6,048"
"2018-01-19 00:00:00","referral:1","first_app:topfacemobappios","1,626"
"2018-01-20 00:00:00","referral:0","first_app:topfacemobappandroid","4,819"
"2018-01-20 00:00:00","referral:0","first_app:topfacemobappios","2,553"
"2018-01-20 00:00:00","referral:1","first_app:topfacemobappandroid","5,645"
"2018-01-20 00:00:00","referral:1","first_app:topfacemobappios","1,350"
"2018-01-21 00:00:00","referral:0","first_app:topfacemobappandroid","5,259"
"2018-01-21 00:00:00","referral:0","first_app:topfacemobappios","3,868"
"2018-01-21 00:00:00","referral:1","first_app:topfacemobappandroid","6,970"
"2018-01-21 00:00:00","referral:1","first_app:topfacemobappios","2,802"
"2018-01-22 00:00:00","referral:0","first_app:topfacemobappandroid","4,762"
"2018-01-22 00:00:00","referral:0","first_app:topfacemobappios","3,836"
"2018-01-22 00:00:00","referral:1","first_app:topfacemobappandroid","5,552"
"2018-01-22 00:00:00","referral:1","first_app:topfacemobappios","2,684"
"2018-01-23 00:00:00","referral:0","first_app:topfacemobappandroid","4,967"
"2018-01-23 00:00:00","referral:0","first_app:topfacemobappios","2,852"
"2018-01-23 00:00:00","referral:1","first_app:topfacemobappandroid","7,452"
"2018-01-23 00:00:00","referral:1","first_app:topfacemobappios","1,656"
"2018-01-24 00:00:00","referral:0","first_app:topfacemobappandroid","5,019"
"2018-01-24 00:00:00","referral:0","first_app:topfacemobappios","2,654"
"2018-01-24 00:00:00","referral:1","first_app:topfacemobappandroid","7,974"
"2018-01-24 00:00:00","referral:1","first_app:topfacemobappios","1,477"
"2018-01-25 00:00:00","referral:0","first_app:topfacemobappandroid","5,104"
"2018-01-25 00:00:00","referral:0","first_app:topfacemobappios","3,204"
"2018-01-25 00:00:00","referral:1","first_app:topfacemobappandroid","8,071"
"2018-01-25 00:00:00","referral:1","first_app:topfacemobappios","2,126"
"2018-01-26 00:00:00","referral:0","first_app:topfacemobappandroid","5,197"
"2018-01-26 00:00:00","referral:0","first_app:topfacemobappios","2,418"
"2018-01-26 00:00:00","referral:1","first_app:topfacemobappandroid","8,782"
"2018-01-26 00:00:00","referral:1","first_app:topfacemobappios","1,345"
"2018-01-27 00:00:00","referral:0","first_app:topfacemobappandroid","4,961"
"2018-01-27 00:00:00","referral:0","first_app:topfacemobappios","1,889"
"2018-01-27 00:00:00","referral:1","first_app:topfacemobappandroid","6,488"
"2018-01-27 00:00:00","referral:1","first_app:topfacemobappios",668
"2018-01-28 00:00:00","referral:0","first_app:topfacemobappandroid","5,164"
"2018-01-28 00:00:00","referral:0","first_app:topfacemobappios","2,197"
"2018-01-28 00:00:00","referral:1","first_app:topfacemobappandroid","6,101"
"2018-01-28 00:00:00","referral:1","first_app:topfacemobappios",881
"2018-01-29 00:00:00","referral:0","first_app:topfacemobappandroid","5,038"
"2018-01-29 00:00:00","referral:0","first_app:topfacemobappios","2,113"
"2018-01-29 00:00:00","referral:1","first_app:topfacemobappandroid","6,220"
"2018-01-29 00:00:00","referral:1","first_app:topfacemobappios",925
"2018-01-30 00:00:00","referral:0","first_app:topfacemobappandroid","4,929"
"2018-01-30 00:00:00","referral:0","first_app:topfacemobappios","2,007"
"2018-01-30 00:00:00","referral:1","first_app:topfacemobappandroid","7,453"
"2018-01-30 00:00:00","referral:1","first_app:topfacemobappios",802
"2018-01-31 00:00:00","referral:0","first_app:topfacemobappandroid","4,661"
"2018-01-31 00:00:00","referral:0","first_app:topfacemobappios","2,458"
"2018-01-31 00:00:00","referral:1","first_app:topfacemobappandroid","6,154"
"2018-01-31 00:00:00","referral:1","first_app:topfacemobappios","1,343"
"2018-02-01 00:00:00","referral:0","first_app:topfacemobappandroid","5,586"
"2018-02-01 00:00:00","referral:0","first_app:topfacemobappios","3,263"
"2018-02-01 00:00:00","referral:1","first_app:topfacemobappandroid","9,875"
"2018-02-01 00:00:00","referral:1","first_app:topfacemobappios","2,270"
"2018-02-02 00:00:00","referral:0","first_app:topfacemobappandroid","5,721"
"2018-02-02 00:00:00","referral:0","first_app:topfacemobappios","2,497"
"2018-02-02 00:00:00","referral:1","first_app:topfacemobappandroid","10,592"
"2018-02-02 00:00:00","referral:1","first_app:topfacemobappios","2,432"
"2018-02-03 00:00:00","referral:0","first_app:topfacemobappandroid","5,650"
"2018-02-03 00:00:00","referral:0","first_app:topfacemobappios","1,801"
"2018-02-03 00:00:00","referral:1","first_app:topfacemobappandroid","9,538"
"2018-02-03 00:00:00","referral:1","first_app:topfacemobappios","3,762"
"2018-02-04 00:00:00","referral:0","first_app:topfacemobappandroid","5,746"
"2018-02-04 00:00:00","referral:0","first_app:topfacemobappios","1,893"
"2018-02-04 00:00:00","referral:1","first_app:topfacemobappandroid","8,986"
"2018-02-04 00:00:00","referral:1","first_app:topfacemobappios","3,642"
"2018-02-05 00:00:00","referral:0","first_app:topfacemobappandroid","5,073"
"2018-02-05 00:00:00","referral:0","first_app:topfacemobappios","1,991"
"2018-02-05 00:00:00","referral:1","first_app:topfacemobappandroid","8,563"
"2018-02-05 00:00:00","referral:1","first_app:topfacemobappios","5,146"
"2018-02-06 00:00:00","referral:0","first_app:topfacemobappandroid","5,892"
"2018-02-06 00:00:00","referral:0","first_app:topfacemobappios","1,893"
"2018-02-06 00:00:00","referral:1","first_app:topfacemobappandroid","9,807"
"2018-02-06 00:00:00","referral:1","first_app:topfacemobappios","4,260"
